COG,num_ORFs_begin,average_ORF_length,raw_alignment_length,num_ORFs_in_tree,trimmed_alignment_length,num_iterations,num_events,earliest_event_type,left_date,mid_date,right_date,exit_status,time_stamp
COG1118,146,316.75342465753425,1625,95,370,414,164,spe,2952.9,2952.9,2952.9,everything_successful,2024-07-21_03:15:37
COG0288,407,216.26044226044226,3283,181,264,578,272,spe,3025.1,3025.1,3025.1,everything_successful,2024-07-21_03:07:48
COG1119,98,294.734693877551,1019,15,469,104,14,hgt,2183.84,1091.92,0.0,everything_successful,2024-07-21_03:15:42
COG1124,35,231.28571428571428,329,22,268,109,21,spe,1342.71,1342.71,1342.71,everything_successful,2024-02-14_16:19:25
COG3004,167,417.4311377245509,3518,141,470,513,183,spe,2722.52,2722.52,2722.52,everything_successful,2023-07-22_15:29:08
COG4100,126,410.0952380952381,911,118,434,203,225,hgt,3456.59,3306.115,3155.64,everything_successful,2024-02-04_06:40:31
COG1125,160,313.64375,1031,90,387,192,134,spe,2844.535,2844.535,2844.535,everything_successful,2023-05-30_02:14:30
COG3010,60,231.43333333333334,468,57,247,126,107,spe,3243.33,3243.33,3243.33,everything_successful,2024-03-27_14:21:51
COG0306,527,355.5673624288425,5033,233,414,300,335,spe,3243.33,3243.33,3243.33,everything_successful,2023-05-30_02:02:02
COG2102,165,253.35151515151514,3852,153,239,439,231,spe,3191.81,3191.81,3191.81,everything_successful,2023-05-30_02:24:18
COG1140,127,421.37795275590554,942,63,552,176,104,hgt,2566.0299999999997,2350.6175,2135.205,everything_successful,2023-12-02_08:16:48
COG4107,45,271.02222222222224,365,45,288,126,58,spe,2240.595,2240.595,2240.595,everything_successful,2024-07-21_06:00:24
COG4114,23,252.52173913043478,432,18,302,104,27,spe,2082.735,2082.735,2082.735,everything_successful,2024-07-21_06:00:29
COG0310,431,215.1415313225058,1967,69,320,210,89,hgt,2342.6800000000003,2291.6375,2240.595,everything_successful,2024-07-21_03:07:54
COG1151,447,492.4496644295302,3089,142,735,154,235,hgt,3093.335,3058.3975,3023.46,everything_successful,2024-01-15_23:31:53
COG4117,90,310.65555555555557,2907,21,283,102,25,spe,1685.3850000000002,1685.3850000000002,1685.3850000000002,everything_successful,2024-07-21_06:00:35
COG0369,76,485.9868421052632,2904,41,616,116,65,spe,1413.085,1413.085,1413.085,everything_successful,2024-07-21_03:08:00
COG2116,152,277.9605263157895,2044,129,313,292,161,spe,2080.0699999999997,2080.0699999999997,2080.0699999999997,everything_successful,2024-07-21_03:20:02
COG5013,131,948.3282442748092,2103,60,1279,111,99,hgt,2566.0299999999997,2350.6175,2135.205,everything_successful,2023-12-02_08:17:21
COG3022,96,258.84375,875,94,263,3001,123,spe,2336.6899999999996,2336.6899999999996,2336.6899999999996,everything_successful,2024-07-21_03:24:33
COG5036,44,245.25,366,43,270,117,67,spe,2162.05,2162.05,2162.05,everything_successful,2024-02-04_06:41:49
COG4148,116,323.41379310344826,783,86,374,500,133,spe,2961.955,2961.955,2961.955,everything_successful,2024-07-21_06:00:41
COG3025,69,394.4347826086956,1107,37,524,200,62,hgt,2267.365,1980.5425,1693.72,everything_successful,2024-07-21_03:24:39
COG3043,37,171.2972972972973,593,7,235,102,6,hgt,2803.71,1401.855,0.0,everything_successful,2023-12-02_08:17:13
COG1178,472,532.4152542372881,4170,416,597,400,584,spe,3121.045,3121.045,3121.045,everything_successful,2024-07-21_03:15:53
COG0376,217,571.8202764976959,2080,144,739,498,187,spe,2952.9,2952.9,2952.9,everything_successful,2024-07-21_03:08:55
COG3142,52,227.23076923076923,520,43,257,200,58,spe,2477.49,2477.49,2477.49,everything_successful,2024-07-21_03:25:24
COG0387,88,375.5113636363636,1493,85,392,206,120,hgt,3511.74,3360.6025,3209.465,everything_successful,2024-07-21_03:09:01
COG5389,62,159.48387096774192,405,46,188,239,78,spe,2143.98,2143.98,2143.98,everything_successful,2023-05-30_03:08:50
COG5397,33,259.1818181818182,574,12,358,104,12,spe,1754.72,1754.72,1754.72,everything_successful,2023-05-30_03:09:37
COG1184,119,311.98319327731093,1646,106,325,385,191,spe,3191.81,3191.81,3191.81,everything_successful,2023-12-22_20:15:42
COG5403,30,193.0,420,25,216,110,38,hgt,2154.635,2117.62,2080.605,everything_successful,2023-05-30_03:10:01
COG2128,652,159.94171779141104,3685,369,195,433,482,hgt,3160.365,2886.4224999999997,2612.48,everything_successful,2024-07-21_03:20:08
COG4149,284,251.08802816901408,2949,265,238,329,389,spe,3242.11,3242.11,3242.11,everything_successful,2024-07-21_06:00:48
COG0390,166,251.32530120481928,565,154,271,384,256,spe,3025.1,3025.1,3025.1,everything_successful,2024-07-21_03:09:07
COG2132,582,472.3453608247423,20914,189,569,159,249,spe,2016.48,2016.48,2016.48,everything_successful,2024-02-13_11:35:48
COG3155,80,219.5875,508,76,227,1001,92,spe,2279.38,2279.38,2279.38,everything_successful,2024-07-12_03:44:43
COG1218,267,281.62172284644197,3169,166,327,2300,241,spe,2361.38,2361.38,2361.38,everything_successful,2024-07-21_03:16:00
COG3158,108,572.7222222222222,1234,89,648,300,142,spe,2447.185,2447.185,2447.185,everything_successful,2024-07-21_03:25:29
COG4206,604,639.955298013245,13733,421,731,550,650,spe,3300.21,3300.21,3300.21,everything_successful,2023-05-30_02:53:51
COG1226,242,462.8057851239669,6111,105,653,224,147,spe,2111.6549999999997,2111.6549999999997,2111.6549999999997,everything_successful,2024-07-21_03:16:06
COG1227,72,367.09722222222223,1310,14,551,104,13,spe,1331.005,1331.005,1331.005,everything_successful,2023-12-02_08:16:56
COG3180,82,307.9390243902439,642,61,374,288,95,hgt,1903.4699999999998,1759.08,1614.69,everything_successful,2024-09-06_14:12:49
COG2137,417,182.58992805755395,2382,168,218,1100,265,spe,2951.08,2951.08,2951.08,everything_successful,2023-05-30_02:25:58
COG4208,96,279.5208333333333,500,89,302,None,153,spe,2612.48,2612.48,2612.48,everything_successful,2024-07-21_06:01:38
COG0400,369,244.41734417344173,5215,326,243,2700,504,hgt,2961.955,2716.4225,2470.8900000000003,everything_successful,2023-05-30_02:04:31
COG3185,448,232.51785714285714,3900,140,377,215,262,spe,3611.965,3611.965,3611.965,everything_successful,2023-05-30_02:37:46
COG3186,88,328.59090909090907,1482,35,368,104,36,spe,1385.2150000000001,1385.2150000000001,1385.2150000000001,everything_successful,2023-05-30_02:38:11
COG4230,76,989.6184210526316,2368,61,1234,500,83,hgt,2111.6549999999997,1973.645,1835.635,everything_successful,2023-05-30_02:54:39
COG0477,328,466.2926829268293,5131,173,548,217,244,dup,2705.185,2638.2675,2571.3500000000004,everything_successful,2023-11-23_17:18:14
COG0490,69,297.59420289855075,1318,10,401,102,11,spe,1894.4299999999998,1894.4299999999998,1894.4299999999998,everything_successful,2024-07-21_03:10:03
COG4241,82,298.2317073170732,698,60,356,200,116,spe,3037.6549999999997,3037.6549999999997,3037.6549999999997,everything_successful,2023-05-30_02:55:04
COG3193,250,194.952,2346,133,179,253,186,spe,2880.765,2880.765,2880.765,everything_successful,2023-05-30_02:38:34
COG1230,481,293.5530145530146,4046,361,324,800,519,spe,3209.465,3209.465,3209.465,everything_successful,2024-07-21_03:16:12
COG4243,182,231.63186813186815,2866,45,310,200,59,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_02:55:28
COG2156,139,193.97122302158274,864,127,204,1200,183,spe,3243.33,3243.33,3243.33,everything_successful,2024-07-21_03:20:14
COG4263,75,587.8666666666667,1300,61,710,241,90,spe,2109.45,2109.45,2109.45,everything_successful,2024-07-21_06:01:44
COG0506,193,312.94300518134713,2405,174,316,1100,289,spe,3209.465,3209.465,3209.465,everything_successful,2023-05-30_02:05:47
COG4264,45,615.6666666666666,1753,38,667,102,51,spe,1407.48,1407.48,1407.48,everything_successful,2024-07-21_06:01:50
COG3197,83,62.75903614457831,155,47,74,500,94,spe,1974.705,1974.705,1974.705,everything_successful,2024-07-21_03:25:35
COG4268,82,352.2073170731707,962,45,460,134,53,spe,2154.635,2154.635,2154.635,everything_successful,2023-05-30_02:56:41
COG2162,66,280.09090909090907,2187,53,287,300,64,hgt,1958.955,1796.215,1633.475,everything_successful,2024-07-23_09:08:39
COG3201,52,204.09615384615384,390,44,237,103,76,spe,1850.35,1850.35,1850.35,everything_successful,2023-05-30_02:39:21
COG5421,576,318.9895833333333,2566,187,612,256,198,hgt,2448.17,2232.325,2016.48,everything_successful,2023-05-30_03:10:24
COG3224,40,179.0,367,28,227,200,39,spe,2039.37,2039.37,2039.37,everything_successful,2024-09-07_02:47:00
COG4291,40,213.2,340,36,252,200,46,hgt,2846.7650000000003,2266.0750000000003,1685.3850000000002,everything_successful,2024-08-02_22:33:17
COG4300,31,210.61290322580646,350,27,243,113,44,spe,2039.37,2039.37,2039.37,everything_successful,2024-07-21_06:01:56
COG3230,20,202.15,275,20,223,200,24,spe,2786.5950000000003,2786.5950000000003,2786.5950000000003,everything_successful,2024-07-21_03:25:45
COG5456,40,176.75,348,34,188,127,89,spe,1974.705,1974.705,1974.705,everything_successful,2024-07-21_06:10:27
COG3232,24,124.875,180,24,139,141,35,spe,1575.32,1575.32,1575.32,everything_successful,2023-05-30_02:40:34
COG2170,214,381.23364485981307,3038,150,461,300,227,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_02:27:11
COG4314,89,195.04494382022472,2018,60,199,128,79,hgt,2448.17,2232.325,2016.48,everything_successful,2024-07-21_06:02:02
COG2180,71,207.25352112676057,686,35,247,105,59,spe,2336.6899999999996,2336.6899999999996,2336.6899999999996,everything_successful,2023-12-02_08:17:29
COG0529,268,191.27238805970148,848,232,214,700,336,spe,3012.98,3012.98,3012.98,everything_successful,2024-07-21_03:10:09
COG3253,123,249.130081300813,906,82,288,210,120,hgt,2475.615,2277.8475,2080.08,everything_successful,2024-07-21_03:25:51
COG1268,327,189.53516819571865,1216,288,215,2000,463,hgt,3456.59,3274.9625,3093.335,everything_successful,2023-05-30_02:18:09
COG1276,45,325.6222222222222,1435,7,515,102,6,hgt,2052.975,1026.4875,0.0,everything_successful,2024-07-21_03:16:58
COG2181,275,367.76,3173,61,705,180,132,hgt,2951.08,2775.045,2599.01,everything_successful,2023-12-02_08:17:04
COG3256,119,582.5378151260504,1185,64,778,123,85,hgt,2518.685,2340.0375,2161.39,everything_successful,2024-07-21_03:25:57
COG3263,154,465.40909090909093,2056,85,590,None,109,spe,2111.6549999999997,2111.6549999999997,2111.6549999999997,everything_successful,2023-07-22_15:29:59
COG5470,167,106.07185628742515,664,160,108,1200,204,spe,1792.55,1792.55,1792.55,everything_successful,2023-05-30_03:11:13
COG0555,247,270.63967611336034,1690,233,281,334,370,spe,3794.005,3794.005,3794.005,everything_successful,2024-07-21_03:10:15
COG1283,360,471.7861111111111,2807,226,569,233,326,spe,3456.59,3456.59,3456.59,everything_successful,2023-07-27_03:55:49
COG4372,200,484.615,10871,20,528,1001,289,spe,3794.005,3794.005,3794.005,everything_successful,2024-08-04_00:18:25
COG5478,28,142.0,264,22,165,142,30,hgt,1646.29,1466.365,1286.44,everything_successful,2024-07-21_06:10:32
COG0615,117,183.65811965811966,2264,35,189,229,48,spe,2596.565,2596.565,2596.565,everything_successful,2024-01-21_11:19:13
COG4454,100,186.62,2815,38,195,158,52,spe,1534.63,1534.63,1534.63,everything_successful,2023-05-30_02:59:07
COG4521,33,349.8484848484849,1266,13,421,102,12,hgt,2160.575,1080.2875,0.0,everything_successful,2024-07-21_06:02:50
COG3265,60,183.26666666666668,920,52,190,800,76,spe,2600.0,2600.0,2600.0,everything_successful,2024-03-27_14:23:09
COG3295,40,222.075,943,22,242,102,41,spe,1996.2350000000001,1996.2350000000001,1996.2350000000001,everything_successful,2024-09-10_08:53:12
COG2193,344,158.26162790697674,958,325,167,900,487,spe,2961.955,2961.955,2961.955,everything_successful,2024-07-21_03:20:20
COG5598,380,407.2763157894737,1136,263,497,321,370,hgt,2412.8450000000003,2329.8975,2246.95,everything_successful,2023-05-30_03:12:01
COG3297,33,412.2121212121212,775,33,420,600,59,spe,2511.255,2511.255,2511.255,everything_successful,2023-05-30_02:42:58
COG0633,639,160.51017214397496,5649,176,140,235,271,hgt,2501.0299999999997,2431.205,2361.38,everything_successful,2023-05-30_02:07:28
COG4531,58,310.44827586206895,683,45,363,300,58,spe,1728.66,1728.66,1728.66,everything_successful,2024-07-21_06:03:35
COG5626,40,99.25,153,36,112,280,63,spe,2246.435,2246.435,2246.435,everything_successful,2023-05-30_03:12:25
COG3301,107,351.5420560747664,1320,24,550,104,32,hgt,2306.035,2138.6,1971.165,everything_successful,2024-07-21_03:26:03
COG0672,134,352.94029850746267,3135,32,427,124,40,hgt,2306.035,2178.1375,2050.24,everything_successful,2024-07-21_03:12:47
COG3302,66,352.3181818181818,1044,14,592,122,21,spe,2330.49,2330.49,2330.49,everything_successful,2023-05-30_02:43:45
COG1320,255,114.93333333333334,584,237,123,623,352,spe,3155.64,3155.64,3155.64,everything_successful,2023-07-27_03:55:54
COG3327,132,229.6060606060606,624,52,317,229,76,hgt,2846.7650000000003,2266.0750000000003,1685.3850000000002,everything_successful,2023-12-27_02:51:27
COG5660,100,249.86,1871,0,None,300,139,spe,2394.9849999999997,2394.9849999999997,2394.9849999999997,everything_successful,2023-05-30_03:12:48
COG4535,75,310.82666666666665,1876,68,299,1000,124,spe,2202.3100000000004,2202.3100000000004,2202.3100000000004,everything_successful,2024-07-21_06:03:42
COG5674,20,72.7,101,20,75,151,30,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_03:13:13
COG2212,249,92.7429718875502,352,248,100,900,359,spe,3023.46,3023.46,3023.46,everything_successful,2023-07-27_03:56:07
COG0692,160,236.225,1628,150,238,None,210,hgt,2800.0150000000003,2316.73,1833.445,everything_successful,2024-01-06_00:06:34
COG2215,162,300.858024691358,2460,27,473,300,45,spe,2571.3500000000004,2571.3500000000004,2571.3500000000004,everything_successful,2024-07-21_03:20:26
COG5677,40,117.3,385,39,114,321,60,spe,2501.0299999999997,2501.0299999999997,2501.0299999999997,everything_successful,2023-05-30_03:13:37
COG3338,103,322.81553398058253,4684,77,301,3001,105,spe,2470.8900000000003,2470.8900000000003,2470.8900000000003,everything_successful,2024-07-21_03:26:52
COG2216,159,559.7924528301887,1959,107,706,200,176,spe,3457.54,3457.54,3457.54,everything_successful,2024-07-21_03:20:31
COG4536,185,405.3945945945946,1116,156,436,None,276,spe,3242.11,3242.11,3242.11,everything_successful,2024-07-21_06:03:48
COG4548,124,739.1048387096774,5082,16,1085,102,28,spe,2599.01,2599.01,2599.01,everything_successful,2024-07-21_06:03:53
COG5716,80,330.1375,482,70,361,302,92,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_03:14:02
COG0700,155,184.6451612903226,1381,128,182,377,187,spe,2796.04,2796.04,2796.04,everything_successful,2023-07-17_20:03:04
COG4555,37,252.72972972972974,967,33,249,152,43,spe,2477.49,2477.49,2477.49,everything_successful,2023-07-22_15:30:05
COG5734,20,39.6,55,20,42,200,44,spe,2501.0299999999997,2501.0299999999997,2501.0299999999997,everything_successful,2023-05-30_03:14:26
COG2221,473,287.25158562367864,5076,148,414,150,248,spe,2852.8500000000004,2852.8500000000004,2852.8500000000004,everything_successful,2024-07-21_03:21:19
COG3349,209,477.0047846889952,3352,190,500,208,279,hgt,2887.55,2615.465,2343.38,everything_successful,2023-05-30_02:44:57
COG5768,20,565.25,824,18,619,107,22,spe,2361.38,2361.38,2361.38,everything_successful,2023-05-30_03:14:50
COG3376,45,330.26666666666665,733,31,384,103,55,spe,3209.465,3209.465,3209.465,everything_successful,2024-07-21_03:26:57
COG0748,96,204.19791666666666,796,46,278,173,76,spe,1792.55,1792.55,1792.55,everything_successful,2024-07-21_03:13:48
COG5778,20,166.05,314,18,181,139,22,spe,2246.435,2246.435,2246.435,everything_successful,2023-05-30_03:15:14
COG4558,43,299.1860465116279,602,38,336,400,57,spe,1977.205,1977.205,1977.205,everything_successful,2023-05-30_03:02:23
COG0753,239,465.1464435146444,3244,41,677,139,52,spe,1421.955,1421.955,1421.955,everything_successful,2024-07-21_03:13:53
COG5790,20,64.35,81,19,71,116,28,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_03:15:38
COG2307,116,316.30172413793105,588,114,335,284,217,spe,2501.0299999999997,2501.0299999999997,2501.0299999999997,everything_successful,2023-05-30_02:30:29
COG4559,24,258.5833333333333,357,23,273,500,39,spe,1534.63,1534.63,1534.63,everything_successful,2023-05-30_03:02:47
COG2308,220,528.8954545454545,1803,41,848,200,44,hgt,2123.16,1880.9125,1638.665,everything_successful,2023-05-30_02:30:54
COG4564,271,501.3985239852399,12258,31,666,113,46,hgt,2063.06,2001.3799999999999,1939.6999999999998,everything_successful,2023-05-30_03:03:12
COG1324,375,116.93066666666667,2238,366,117,3001,532,spe,2983.19,2983.19,2983.19,everything_successful,2023-05-30_02:19:47
COG4572,49,122.83673469387755,691,9,277,102,15,spe,2612.48,2612.48,2612.48,everything_successful,2024-07-21_06:03:59
COG3379,410,522.4463414634147,9112,156,630,1499,193,spe,2781.98,2781.98,2781.98,everything_successful,2023-05-30_02:45:46
COG3395,140,394.7857142857143,1727,107,478,344,126,spe,2154.635,2154.635,2154.635,everything_successful,2023-05-30_02:46:37
COG4587,160,261.5,481,152,274,410,229,spe,2902.885,2902.885,2902.885,everything_successful,2024-07-26_13:31:48
COG4594,21,329.0952380952381,741,18,354,102,36,spe,1778.165,1778.165,1778.165,everything_successful,2023-05-30_03:04:25
COG3454,68,367.1764705882353,708,61,397,289,83,spe,1792.55,1792.55,1792.55,everything_successful,2024-07-21_05:56:11
COG4604,23,245.34782608695653,322,22,254,200,30,spe,1661.335,1661.335,1661.335,everything_successful,2024-07-21_06:04:45
COG2317,208,472.5048076923077,871,188,511,938,280,spe,2571.3500000000004,2571.3500000000004,2571.3500000000004,everything_successful,2023-05-30_02:31:19
COG3460,56,108.92857142857143,457,23,126,103,42,hgt,2327.67,2244.1225,2160.575,everything_successful,2023-05-30_02:47:25
COG3470,28,192.07142857142858,521,24,212,151,28,spe,2050.24,2050.24,2050.24,everything_successful,2023-05-30_02:47:50
COG4607,24,307.3333333333333,719,19,333,137,28,spe,1778.165,1778.165,1778.165,everything_successful,2024-07-21_06:06:20
COG1342,217,121.26267281105991,645,0,None,1001,302,spe,3456.59,3456.59,3456.59,everything_successful,2024-08-13_15:42:22
COG4615,36,550.5555555555555,1152,35,559,126,61,spe,2154.635,2154.635,2154.635,everything_successful,2024-07-21_06:06:26
COG3484,64,248.125,354,62,265,158,103,spe,2612.48,2612.48,2612.48,everything_successful,2023-05-30_02:48:14
COG4619,60,216.16666666666666,506,58,226,117,107,spe,2241.395,2241.395,2241.395,everything_successful,2024-07-21_06:06:32
COG4630,75,436.17333333333335,1310,59,492,123,98,spe,2867.145,2867.145,2867.145,everything_successful,2023-05-30_03:06:25
COG1348,164,272.0914634146341,849,149,300,900,210,spe,2612.48,2612.48,2612.48,everything_successful,2024-07-21_03:17:04
COG4631,97,733.7525773195877,2691,75,801,128,117,spe,2867.145,2867.145,2867.145,everything_successful,2023-05-30_03:06:48
COG3502,147,240.25850340136054,1760,63,367,900,123,spe,3155.64,3155.64,3155.64,everything_successful,2023-05-30_02:48:39
COG2335,289,303.6159169550173,17318,94,222,800,116,hgt,2340.795,2184.7775,2028.7600000000002,everything_successful,2023-05-30_02:31:43
COG0774,469,316.81663113006397,1869,106,443,1001,802,spe,3794.005,3794.005,3794.005,everything_successful,2024-01-21_13:56:48
COG4632,380,513.4473684210526,22640,49,628,111,106,spe,3573.7,3573.7,3573.7,everything_successful,2023-05-30_03:07:13
COG3508,149,388.5570469798658,1544,132,450,425,214,spe,2470.8900000000003,2470.8900000000003,2470.8900000000003,everything_successful,2024-07-13_08:34:21
COG4651,287,522.7630662020906,2856,173,676,435,269,spe,3726.035,3726.035,3726.035,everything_successful,2024-07-21_06:06:39
COG2346,246,152.40243902439025,3267,165,159,436,223,spe,3209.465,3209.465,3209.465,everything_successful,2024-07-21_03:21:34
COG3518,40,158.775,287,34,173,116,44,spe,1589.6100000000001,1589.6100000000001,1589.6100000000001,everything_successful,2023-05-30_02:49:27
COG3530,23,86.30434782608695,286,20,90,400,21,hgt,2470.8900000000003,1235.4450000000002,0.0,everything_successful,2023-05-30_02:49:51
COG0783,235,165.8340425531915,561,209,184,1099,278,dup,3160.365,2886.4224999999997,2612.48,everything_successful,2024-02-04_06:41:57
COG2371,82,162.9390243902439,782,78,163,500,129,spe,2246.435,2246.435,2246.435,everything_successful,2023-05-30_02:32:32
COG3535,81,357.12345679012344,733,75,376,144,90,dup,2556.69,2366.635,2176.58,everything_successful,2024-07-24_00:51:53
COG2372,113,439.37168141592923,9491,21,578,103,21,spe,2082.735,2082.735,2082.735,everything_successful,2024-07-21_03:21:40
COG4662,190,229.47894736842105,395,186,237,900,305,spe,3456.59,3456.59,3456.59,everything_successful,2024-07-21_06:06:45
COG4310,33,418.969696969697,581,30,454,103,44,spe,1939.6999999999998,1939.6999999999998,1939.6999999999998,everything_successful,2024-07-26_13:22:50
COG4549,33,218.1818181818182,775,14,265,102,19,spe,1407.48,1407.48,1407.48,everything_successful,2024-08-05_16:01:06
COG2373,396,1385.3131313131314,22293,145,2015,184,225,hgt,3209.465,3080.2725,2951.08,everything_successful,2023-05-30_03:15:42
COG4683,40,111.675,237,29,135,161,32,hgt,1391.24,1338.0900000000001,1284.94,everything_successful,2024-08-06_00:28:05
COG3540,354,532.5847457627119,20847,135,546,256,181,spe,2805.55,2805.55,2805.55,everything_successful,2024-07-21_05:56:18
COG2375,49,270.9591836734694,617,42,299,132,74,spe,1728.66,1728.66,1728.66,everything_successful,2024-07-21_03:21:46
COG1393,411,118.26520681265207,1190,353,126,2000,542,spe,2728.775,2728.775,2728.775,everything_successful,2024-07-21_03:17:10
COG4691,60,83.56666666666666,255,59,90,298,74,spe,2465.6400000000003,2465.6400000000003,2465.6400000000003,everything_successful,2023-05-30_05:09:51
COG4756,33,349.90909090909093,449,33,359,123,43,spe,3129.85,3129.85,3129.85,everything_successful,2024-07-29_12:07:56
COG1416,140,160.61428571428573,967,97,179,136,120,spe,1974.705,1974.705,1974.705,everything_successful,2024-07-21_03:17:16
COG0798,425,322.4564705882353,1562,339,382,600,446,spe,2983.19,2983.19,2983.19,everything_successful,2024-07-21_03:13:59
COG4766,33,161.33333333333334,487,10,237,102,40,spe,1887.42,1887.42,1887.42,everything_successful,2023-05-30_06:57:22
COG1421,40,147.475,471,24,166,125,26,spe,1892.56,1892.56,1892.56,everything_successful,2023-05-30_06:59:43
COG3542,111,165.63963963963963,728,99,177,500,141,spe,2819.98,2819.98,2819.98,everything_successful,2023-05-30_07:17:09
COG4772,109,741.0275229357799,3297,38,927,102,57,spe,2685.38,2685.38,2685.38,everything_successful,2024-07-21_06:08:16
COG3546,130,202.63076923076923,802,46,269,150,79,spe,3037.6549999999997,3037.6549999999997,3037.6549999999997,everything_successful,2024-07-21_05:56:24
COG4773,84,652.3333333333334,2826,54,835,128,73,spe,2039.37,2039.37,2039.37,everything_successful,2024-07-21_06:08:22
COG4774,74,703.8513513513514,3214,59,822,200,64,hgt,1614.755,1478.7325,1342.71,everything_successful,2024-07-21_06:08:28
COG3624,40,150.275,262,38,163,153,43,spe,2240.595,2240.595,2240.595,everything_successful,2023-05-30_09:29:04
