COG,metadata,polarity,correlation,corr_above_0.6
COG0424,log_depth,negative,-0.742174295,TRUE
COG0656,log_depth,positive,0.674768811,TRUE
COG1524,log_depth,positive,0.693852929,TRUE
COG3871,log_depth,positive,0.6949546,TRUE
COG1529,log_depth,positive,0.685261501,TRUE
COG1721,log_depth,positive,0.648275893,TRUE
COG4198,log_depth,positive,0.700287547,TRUE
COG4195,log_depth,positive,0.656847007,TRUE
COG2258,sqrt_iron,positive,0.171572192,FALSE
COG2080,log_depth,positive,0.727024726,TRUE
COG3573,size_fraction,positive,NA,NA
COG0386,Mean_Oxygen,positive,0.510426337,FALSE
COG4319,log_depth,positive,0.646169589,TRUE
COG4559,sqrt_iron,negative,-0.695940732,TRUE
COG5652,log_depth,positive,0.637669567,TRUE
COG0017,size_fraction,positive,NA,NA
COG2013,size_fraction,positive,NA,NA
COG2316,Mean_Oxygen,negative,-0.511536505,FALSE
COG0683,Mean_Oxygen,negative,-0.276119755,FALSE
COG5309,sqrt_iron,positive,0.464450148,FALSE
COG0407,log_depth,negative,-0.736416659,TRUE
COG5605,log_depth,positive,0.669134765,TRUE
COG3273,Mean_Oxygen,negative,-0.495724184,FALSE
COG1850,sqrt_iron,negative,0.012632013,FALSE
COG3569,log_depth,positive,0.726999742,TRUE
COG2373,size_fraction,positive,NA,NA
COG1526,sqrt_iron,positive,0.306354081,FALSE
COG3272,log_depth,positive,0.589171327,FALSE
COG0300,Mean_Oxygen,positive,0.002494363,FALSE
COG1426,Mean_Oxygen,negative,-0.399549575,FALSE
COG3080,log_depth,positive,0.588963727,FALSE
COG3663,log_depth,positive,0.729938635,TRUE
COG1838,sqrt_iron,positive,0.583841508,FALSE
COG1063,log_depth,positive,0.704051459,TRUE
COG4608,log_depth,positive,0.717251349,TRUE
COG1300,log_depth,positive,0.598409434,FALSE
COG0253,log_depth,negative,-0.77188075,TRUE
COG2205,sqrt_iron,positive,0.220550117,FALSE
COG3296,log_PO4,positive,0.508104551,FALSE
COG4987,sqrt_iron,positive,0.297077283,FALSE
COG5566,Mean_Temperature,positive,-0.139654877,FALSE
COG3608,size_fraction,positive,NA,NA
COG1461,Mean_Oxygen,negative,-0.456776316,FALSE
COG2074,Mean_Oxygen,negative,-0.42316109,FALSE
COG3269,size_fraction,positive,NA,NA
COG4308,log_depth,positive,0.350974874,FALSE
COG3958,log_NO2NO3,positive,0.702499854,TRUE
COG1277,log_depth,positive,0.717196317,TRUE
COG1080,Mean_Oxygen,negative,-0.296101418,FALSE
COG1395,log_depth,positive,0.690535152,TRUE
COG2146,log_depth,positive,0.726826691,TRUE
COG3650,log_depth,positive,0.517511188,FALSE
COG2320,size_fraction,positive,NA,NA
COG3091,log_depth,positive,0.49016033,FALSE
COG0694,log_depth,negative,-0.763542566,TRUE
COG1184,Mean_Oxygen,negative,-0.668663981,TRUE
COG1637,log_depth,positive,0.713350835,TRUE
COG3538,size_fraction,positive,NA,NA
COG3615,log_PO4,positive,0.173494045,FALSE
COG1695,sqrt_iron,positive,0.268791729,FALSE
COG4872,log_depth,positive,0.57244489,FALSE
COG0543,sqrt_iron,positive,0.30675465,FALSE
COG0314,sqrt_iron,positive,0.173988288,FALSE
COG4339,log_depth,positive,0.627182737,TRUE
COG1392,log_PO4,positive,0.801286791,TRUE
COG3112,log_PO4,positive,0.478321813,FALSE
COG0609,sqrt_iron,negative,-0.744160667,TRUE
COG2922,size_fraction,positive,NA,NA
COG5282,log_depth,positive,0.726514498,TRUE
COG1184,log_depth,positive,0.654379575,TRUE
COG3267,log_depth,positive,0.671667402,TRUE
COG5661,log_depth,positive,0.518285817,FALSE
COG2423,log_depth,positive,0.719598908,TRUE
COG0301,log_depth,positive,0.744636689,TRUE
COG1637,Mean_Oxygen,negative,-0.532524654,FALSE
COG1307,Mean_Oxygen,negative,-0.484065175,FALSE
COG4359,size_fraction,positive,NA,NA
COG4558,sqrt_iron,negative,-0.720739221,TRUE
COG2150,Mean_Salinity,positive,-0.047790108,FALSE
COG4263,log_PO4,positive,0.480422452,FALSE
COG1721,size_fraction,positive,NA,NA
COG3664,Mean_Oxygen,negative,-0.205876052,FALSE
COG0521,sqrt_iron,positive,0.238440805,FALSE
COG1801,size_fraction,positive,NA,NA
COG2991,log_depth,positive,0.212184618,FALSE
COG5421,log_PO4,positive,0.604676262,TRUE
COG4301,Mean_Oxygen,negative,-0.216350151,FALSE
COG1745,Mean_Salinity,positive,0.00299161,FALSE
COG3298,log_depth,positive,0.708992682,TRUE
COG4106,log_depth,positive,0.436913507,FALSE
COG2509,sqrt_iron,positive,0.078234314,FALSE
COG3572,log_depth,negative,-0.674680141,TRUE
COG4582,log_depth,positive,0.482601527,FALSE
COG0777,log_depth,negative,-0.689671891,TRUE
COG3886,log_PO4,positive,0.511605958,FALSE
COG3745,log_depth,positive,0.679126403,TRUE
COG3117,log_depth,positive,0.644927269,TRUE
COG4249,Mean_Oxygen,negative,-0.298766701,FALSE
COG4576,log_depth,positive,0.728703872,TRUE
COG4870,size_fraction,positive,NA,NA
COG4347,Mean_Oxygen,negative,-0.443648399,FALSE
COG2267,Mean_Oxygen,positive,0.363376679,FALSE
COG4898,sqrt_iron,positive,0.439363126,FALSE
COG1579,log_depth,positive,0.715434448,TRUE
COG3961,Mean_Oxygen,negative,-0.221666214,FALSE
COG3467,log_depth,positive,0.733675696,TRUE
COG0854,log_depth,negative,-0.757619596,TRUE
COG2943,log_depth,positive,0.611401256,TRUE
COG2430,sqrt_iron,positive,0.283457706,FALSE
COG3979,log_depth,positive,0.421500833,FALSE
COG0412,Mean_Oxygen,negative,-0.396858836,FALSE
COG1260,Mean_Oxygen,negative,-0.523831749,FALSE
COG1708,log_depth,positive,0.591496649,FALSE
COG2316,size_fraction,positive,NA,NA
COG2845,log_depth,positive,0.611521722,TRUE
COG3965,log_depth,positive,0.541846618,FALSE
COG4247,log_PO4,negative,-0.552749982,FALSE
COG4856,Mean_Salinity,positive,0.12291484,FALSE
COG0220,log_depth,negative,-0.727323302,TRUE
COG4276,log_depth,positive,0.229456516,FALSE
COG5502,Mean_Temperature,positive,-0.031265476,FALSE
COG0303,sqrt_iron,positive,0.194670443,FALSE
COG3454,log_PO4,negative,-0.587432254,FALSE
COG5438,log_depth,positive,0.422237838,FALSE
COG5661,size_fraction,positive,NA,NA
COG1966,size_fraction,positive,NA,NA
COG0135,log_depth,negative,-0.770236349,TRUE
COG3155,Mean_Oxygen,negative,-0.572884174,FALSE
COG3372,Mean_Oxygen,negative,-0.389787236,FALSE
COG0289,log_depth,negative,-0.76682243,TRUE
COG4782,size_fraction,positive,NA,NA
COG5029,log_depth,positive,0.442272147,FALSE
COG3870,log_depth,positive,0.560315729,FALSE
COG3269,Mean_Oxygen,negative,-0.487545101,FALSE
COG5014,Mean_Oxygen,negative,-0.417063267,FALSE
COG0315,sqrt_iron,positive,0.150048624,FALSE
COG3047,log_depth,positive,0.603025472,TRUE
COG1044,log_depth,negative,-0.706462204,TRUE
COG1824,Mean_Oxygen,negative,-0.48849504,FALSE
COG2098,log_depth,positive,0.638962728,TRUE
COG5431,log_depth,positive,0.527015595,FALSE
COG4132,size_fraction,positive,NA,NA
COG0415,log_depth,negative,-0.815133401,TRUE
COG3057,log_PO4,positive,0.436083487,FALSE
COG0306,log_PO4,positive,0.822452002,TRUE
COG3276,log_depth,positive,0.728908193,TRUE
COG4869,size_fraction,positive,NA,NA
COG0555,log_depth,positive,0.580848157,FALSE
COG5014,log_depth,positive,0.740906323,TRUE
COG1617,Mean_Salinity,positive,0.121842248,FALSE
COG2006,log_depth,positive,0.703750334,TRUE
COG2838,size_fraction,positive,NA,NA
COG5282,Mean_Oxygen,negative,-0.528177393,FALSE
COG0557,log_depth,negative,-0.663432977,TRUE
COG1881,Mean_Oxygen,negative,-0.308298934,FALSE
COG2261,log_depth,positive,0.630439675,TRUE
COG1920,log_depth,positive,0.761122984,TRUE
COG3111,Mean_Oxygen,negative,-0.457001807,FALSE
COG1137,log_depth,negative,-0.734921952,TRUE
COG1607,log_depth,positive,0.487453067,FALSE
COG1757,size_fraction,positive,NA,NA
COG1217,log_depth,negative,-0.571797859,FALSE
COG4856,Mean_Oxygen,negative,-0.198821264,FALSE
COG3185,sqrt_iron,positive,-0.058696861,FALSE
COG0299,log_depth,negative,-0.543881031,FALSE
COG3783,log_PO4,positive,0.278845134,FALSE
COG0225,log_depth,negative,-0.723250283,TRUE
COG4044,log_depth,positive,0.13188896,FALSE
COG1407,log_depth,negative,-0.110885948,FALSE
COG3685,log_depth,positive,0.545071451,FALSE
COG4335,size_fraction,positive,NA,NA
COG0410,Mean_Oxygen,negative,-0.198457473,FALSE
COG1437,log_depth,positive,0.653482358,TRUE
COG0366,log_NO2NO3,negative,-0.702948524,TRUE
COG1442,log_PO4,negative,-0.571742356,FALSE
COG3228,size_fraction,positive,NA,NA
COG4682,log_PO4,positive,0.520619196,FALSE
COG0420,log_depth,positive,0.707433991,TRUE
COG0477,log_depth,positive,0.464359963,FALSE
COG3243,Mean_Oxygen,negative,-0.459683045,FALSE
COG2860,log_depth,positive,0.688350135,TRUE
COG3709,log_PO4,negative,-0.591949276,FALSE
COG3959,log_NO2NO3,positive,0.718115176,TRUE
COG4716,log_depth,positive,0.571029499,FALSE
COG1509,log_depth,positive,0.755866316,TRUE
COG0243,Mean_Oxygen,negative,-0.275884759,FALSE
COG2866,size_fraction,positive,NA,NA
COG1951,sqrt_iron,positive,0.579332082,FALSE
COG1694,size_fraction,negative,NA,NA
COG0708,log_depth,negative,-0.747241552,TRUE
COG3676,Mean_Oxygen,negative,-0.223852827,FALSE
COG2451,Mean_Oxygen,negative,-0.469693934,FALSE
COG3384,log_depth,positive,0.634144816,TRUE
COG3164,log_PO4,positive,0.401323897,FALSE
COG3803,sqrt_iron,positive,0.211051949,FALSE
COG0419,log_depth,positive,0.735187496,TRUE
COG4373,log_depth,positive,0.535260012,FALSE
COG4420,log_depth,positive,0.514485873,FALSE
COG4759,log_depth,positive,0.683094807,TRUE
COG4987,size_fraction,positive,NA,NA
COG3099,log_PO4,positive,0.247649468,FALSE
COG0515,log_depth,positive,0.639064122,TRUE
COG0713,Mean_Oxygen,negative,-0.501040593,FALSE
COG4231,Mean_Oxygen,negative,-0.37793432,FALSE
COG4289,Mean_Oxygen,negative,-0.312287227,FALSE
COG1512,size_fraction,positive,NA,NA
COG0415,Mean_Oxygen,positive,0.273778068,FALSE
COG3978,log_PO4,positive,0.293694339,FALSE
COG1236,Mean_Temperature,positive,0.112176719,FALSE
COG4579,sqrt_iron,positive,0.322179724,FALSE
COG3530,log_depth,positive,0.557345714,FALSE
COG4829,log_depth,positive,0.594499668,FALSE
COG0220,Mean_Oxygen,positive,0.527891982,FALSE
COG0643,log_depth,positive,0.64069119,TRUE
COG2231,log_depth,positive,0.676150184,TRUE
COG3541,log_depth,positive,0.581714899,FALSE
COG3208,size_fraction,positive,NA,NA
COG3708,log_depth,positive,0.599430707,FALSE
COG1007,Mean_Oxygen,negative,-0.45559625,FALSE
COG1682,log_depth,positive,0.756953614,TRUE
COG3137,log_depth,positive,0.669199567,TRUE
COG4875,log_depth,positive,0.713724588,TRUE
COG2716,log_depth,positive,0.642162191,TRUE
COG4859,log_depth,positive,0.457544383,FALSE
COG3865,size_fraction,positive,NA,NA
COG4632,log_depth,positive,0.695059024,TRUE
COG1067,log_depth,positive,0.45444603,FALSE
COG3287,log_PO4,positive,0.571974846,FALSE
COG3635,Mean_Oxygen,negative,-0.4133283,FALSE
COG0036,log_depth,negative,-0.637955939,TRUE
COG4729,log_depth,positive,0.401857463,FALSE
COG1273,log_depth,positive,0.653917994,TRUE
COG3326,log_depth,positive,0.610674811,TRUE
COG3102,log_PO4,positive,0.154465587,FALSE
COG4334,Absolute_Latitude,negative,-0.233293396,FALSE
COG5660,Mean_Oxygen,negative,-0.538216589,FALSE
COG0309,log_depth,positive,0.713854981,TRUE
COG0377,Mean_Oxygen,negative,-0.512354495,FALSE
COG3531,log_depth,positive,0.687704156,TRUE
COG4628,log_PO4,positive,0.579420165,FALSE
COG4898,size_fraction,positive,NA,NA
COG2378,log_depth,positive,0.705824656,TRUE
COG4464,size_fraction,positive,NA,NA
COG4382,size_fraction,positive,NA,NA
COG3867,size_fraction,positive,NA,NA
COG2023,log_depth,positive,0.66403361,TRUE
COG0252,size_fraction,positive,NA,NA
COG3782,Mean_Oxygen,positive,0.149556404,FALSE
COG1350,Mean_Oxygen,negative,-0.416669961,FALSE
COG0017,log_depth,positive,0.717749584,TRUE
COG2430,size_fraction,positive,NA,NA
COG3055,log_depth,positive,0.587034697,FALSE
COG4384,log_depth,positive,0.293286955,FALSE
COG2128,Mean_Oxygen,negative,-0.484181961,FALSE
COG3185,log_depth,positive,0.613200454,TRUE
COG5395,sqrt_iron,positive,0.629486025,TRUE
COG0549,log_depth,positive,0.690571333,TRUE
COG1607,size_fraction,positive,NA,NA
COG5013,size_fraction,positive,NA,NA
COG0770,log_depth,negative,-0.717955134,TRUE
COG0754,log_depth,positive,0.582653838,FALSE
COG4106,size_fraction,positive,NA,NA
COG3284,sqrt_iron,positive,0.330529,FALSE
COG3167,log_depth,positive,0.65511702,TRUE
COG0166,log_depth,negative,-0.605557225,TRUE
COG1045,log_depth,negative,-0.719675499,TRUE
COG1047,log_depth,positive,0.68582271,TRUE
COG1597,log_PO4,negative,0.040798156,FALSE
COG1699,Mean_Oxygen,negative,-0.523165642,FALSE
COG3256,Mean_Oxygen,negative,-0.400962561,FALSE
COG5642,log_depth,positive,0.623159085,TRUE
COG0265,Mean_Oxygen,negative,-0.211051713,FALSE
COG3211,sqrt_iron,positive,0.418550249,FALSE
COG3152,log_depth,positive,0.320039233,FALSE
COG0353,log_depth,negative,-0.753352198,TRUE
COG0585,log_depth,positive,0.716411775,TRUE
COG1060,log_depth,positive,0.728244623,TRUE
COG2176,log_depth,positive,0.328983573,FALSE
COG3638,log_PO4,negative,-0.679768979,TRUE
COG3066,log_depth,positive,0.529140828,FALSE
COG0053,sqrt_iron,positive,0.311803903,FALSE
COG0386,log_depth,negative,-0.732848578,TRUE
COG3318,log_depth,positive,0.720964396,TRUE
COG5373,log_depth,positive,0.664587315,TRUE
COG0558,Mean_Oxygen,negative,-0.383978943,FALSE
COG2346,log_depth,positive,0.630841398,TRUE
COG4373,size_fraction,positive,NA,NA
COG2008,sqrt_iron,positive,0.21834643,FALSE
COG1313,Mean_Oxygen,negative,-0.407662711,FALSE
COG0838,Mean_Oxygen,negative,-0.330674461,FALSE
COG2864,sqrt_iron,positive,0.67626195,TRUE
COG1733,sqrt_iron,positive,0.272802197,FALSE
COG2043,log_depth,positive,0.704822655,TRUE
COG3131,log_depth,positive,0.612333744,TRUE
COG0493,Mean_Oxygen,negative,0.194223687,FALSE
COG4138,log_PO4,positive,0.439464808,FALSE
COG1310,log_depth,positive,0.720507851,TRUE
COG1314,Mean_Temperature,negative,0.026429563,FALSE
COG1695,size_fraction,positive,NA,NA
COG3967,log_depth,positive,0.605128515,TRUE
COG0752,log_depth,negative,-0.704587677,TRUE
COG4922,log_PO4,positive,0.463221702,FALSE
COG2320,log_depth,positive,0.558225269,FALSE
COG2837,log_depth,positive,0.675821144,TRUE
COG3615,size_fraction,positive,NA,NA
COG3197,log_PO4,positive,0.230018277,FALSE
COG0478,Mean_Salinity,positive,-0.032783629,FALSE
COG2164,log_depth,positive,0.691212893,TRUE
COG2247,size_fraction,positive,NA,NA
COG1021,log_depth,positive,0.766084563,TRUE
COG1231,log_depth,positive,0.71777817,TRUE
COG3773,size_fraction,negative,NA,NA
COG4972,log_depth,positive,0.726708671,TRUE
COG1334,log_depth,positive,0.502668265,FALSE
COG3187,log_depth,positive,0.631616342,TRUE
COG3870,size_fraction,positive,NA,NA
COG1995,log_depth,negative,-0.719208543,TRUE
COG3040,log_depth,positive,-0.017850939,FALSE
COG2078,Mean_Oxygen,negative,-0.400631502,FALSE
COG0159,log_depth,negative,-0.744475562,TRUE
COG4826,log_depth,positive,0.719415073,TRUE
COG1283,log_depth,positive,0.601577826,TRUE
COG5517,log_depth,positive,0.549214995,FALSE
COG0301,size_fraction,positive,NA,NA
